claim_id,customer_age,customer_gender,customer_income,policy_type,policy_tenure,premium_amount,claim_amount,vehicle_age,vehicle_type,accident_type,accident_severity,claim_delay_days,police_report,witness_available,repair_estimate,number_of_injuries,hospital_expense,previous_claims,previous_fraud_flags,claim_history,location_risk_score,policy_risk_score,fraud_flag,claim_to_premium_ratio,claim_frequency,high_claim_indicator,claim_delay_category,customer_claim_risk,total_financial_exposure,discrepancy_repair_ratio,unwitnessed_severe_accident,location_severity_index,young_driver_luxury_claim
CLM-2024-15213,34,Male,38513.07,Collision,0.9,979.43,10897.4,2,Sedan,Vandalism,Moderate,61,Yes,No,10915.89,0,0.0,0,0,Clean,0.623,0.408,0,11.1263,0.0,1,Critical,0.0,21813.29,0.0017,0,1.246,0
CLM-2024-28902,56,Male,32279.47,Collision,12.7,1028.69,10857.05,7,Sedan,Multi-Vehicle,Minor,7,No,No,1309.22,3,9577.97,0,0,Clean,0.396,0.593,0,10.5542,0.0,1,Standard,0.0,21744.24,7.2375,0,0.396,0
CLM-2024-17130,34,Female,93472.92,Collision,0.3,1550.47,3481.37,3,Sedan,Animal Collision,Minor,3,No,No,3433.11,0,0.0,1,0,Standard,0.496,0.214,0,2.2454,3.3333,1,Standard,1.5,6914.48,0.014,0,0.496,0
CLM-2024-16855,36,Female,31539.12,Collision,2.7,1362.81,1844.74,4,Sedan,Multi-Vehicle,Minor,8,No,No,1905.68,0,0.0,1,0,Standard,0.61,0.356,0,1.3536,0.3704,0,Standard,1.5,3750.42,0.0318,0,0.61,0
CLM-2024-16254,33,Male,31541.21,Comprehensive,0.7,1800.25,22359.97,11,Luxury,Multi-Vehicle,Major,0,Yes,Yes,15494.35,1,6902.94,1,0,Standard,0.133,0.569,0,12.4205,1.4286,0,Immediate,1.5,44757.26,0.4428,0,0.4655,0
CLM-2024-14144,36,Male,74946.92,Collision,2.1,712.09,46357.19,5,Truck,Vandalism,Moderate,1,No,No,21416.93,0,0.0,0,0,Clean,0.685,0.324,1,65.1002,0.0,1,Immediate,0.0,67774.12,1.164,0,1.37,0
CLM-2024-26196,47,Female,66846.81,Collision,5.4,1284.24,10887.47,2,Sedan,Theft,Minor,1,No,Yes,2298.94,4,8474.65,2,0,Standard,0.363,0.61,0,8.4778,0.3704,1,Immediate,3.0,21661.06,3.7197,0,0.363,0
CLM-2024-19965,40,Female,66345.14,Comprehensive,1.7,1568.25,1397.99,5,Sedan,Multi-Vehicle,Minor,0,No,No,1356.99,0,0.0,1,0,Standard,0.504,0.639,0,0.8914,0.5882,0,Immediate,1.5,2754.98,0.03,0,0.504,0
CLM-2024-15514,33,Male,36433.82,Comprehensive,1.1,1539.98,29250.59,3,Truck,Single-Vehicle,Major,4,Yes,No,19400.26,2,9640.06,0,0,Clean,0.728,0.385,0,18.9941,0.0,1,Standard,0.0,58290.91,0.5075,0,2.548,0
CLM-2024-14773,37,Male,25648.26,Collision,0.9,1324.18,16769.1,7,SUV,Theft,Moderate,6,Yes,,16783.93,0,0.0,1,0,Standard,0.622,0.596,0,12.6638,1.1111,1,Standard,1.5,33553.03,0.0009,0,1.244,0
CLM-2024-20529,43,Female,68219.92,Comprehensive,0.7,1655.44,24601.0,3,Sedan,Single-Vehicle,Total Loss,0,Yes,Yes,24641.57,0,0.0,1,0,Standard,0.425,0.671,0,14.8607,1.4286,0,Immediate,1.5,49242.57,0.0016,0,2.125,0
CLM-2024-11528,39,Male,,Comprehensive,2.1,2055.7,11642.01,8,Sedan,Animal Collision,Moderate,3,No,No,11592.2,0,0.0,0,0,Clean,0.371,0.796,0,5.6633,0.0,1,Standard,0.0,23234.21,0.0043,0,0.742,0
CLM-2024-21808,20,Male,86859.54,Collision,2.1,931.87,5405.83,5,Sedan,Single-Vehicle,Moderate,8,Yes,Yes,5430.94,0,0.0,0,0,Clean,0.658,0.35,0,5.8011,0.0,0,Standard,0.0,10836.77,0.0046,0,1.316,0
CLM-2024-26969,49,Female,43010.27,Comprehensive,0.2,1328.58,8650.45,5,Sedan,Multi-Vehicle,Moderate,1,Yes,Yes,,0,0.0,0,0,Clean,0.351,0.219,0,6.511,0.0,0,Immediate,0.0,17300.9,0.0,0,0.702,0
CLM-2024-25068,38,Female,41123.89,Comprehensive,6.1,1738.92,1958.64,4,SUV,Single-Vehicle,Minor,1,No,Yes,1860.91,0,0.0,2,0,Standard,0.784,0.531,0,1.1264,0.3279,0,Immediate,3.0,3819.55,0.0522,0,0.784,0
CLM-2024-25907,62,Male,67476.97,Comprehensive,10.0,1391.17,1653.8,4,Sedan,Multi-Vehicle,Minor,5,No,Yes,1397.08,0,0.0,0,0,Clean,0.327,0.142,0,1.1888,0.0,0,Standard,0.0,3050.88,0.1824,0,0.327,0
CLM-2024-20661,45,Male,85896.68,Collision,6.8,1036.1,6463.99,4,SUV,Single-Vehicle,Minor,5,No,No,6569.5,0,0.0,4,0,Frequent,0.384,0.452,0,6.2388,0.5882,1,Standard,6.0,13033.49,0.016,0,0.384,0
